regime,bot,apr_pct,return_pct,max_dd_pct,sharpe,sortino,trades,halted
bull,infinity,1477.7760857321507,338.7729505010561,24.271080020308606,4.225718161201372,5.2858506233697105,893,False
bull,balanced,74.2447201102302,34.672579657958245,1.1035054851702522,13.217237123439501,10.227708909694414,351,False
bull,buyhold,2583.143072004474,483.2536552633188,28.768713756626884,4.297744942591274,5.737203082184236,1,False
bear,infinity,-17.321275753775765,-17.836686481094144,20.303258881926027,-1.3821290596572187,-1.525873115001046,178,False
bear,balanced,23.16706438191536,24.01372568522657,0.39903113896528714,8.968225803526224,8.424010229877172,248,False
bear,buyhold,-75.34968167739382,-76.45885099322625,77.19848663243954,-1.7794652354350664,-2.316280810708253,1,False
crab,infinity,33.959220793151054,29.108873013889934,15.344077806759026,1.288589382688064,1.392538096931102,314,False
crab,balanced,23.180390877088563,19.983222682239376,0.2388557337676458,9.314590450008232,14.128464098082164,186,False
crab,buyhold,68.94582616070379,58.1317393242452,21.740843715487802,1.4771042187195547,1.7958581680937364,1,False
crash,infinity,0.0,0.0,0.0,0.0,0.0,0,False
crash,balanced,27.752356456418028,3.062775478844326,0.7298237286552642,7.093767063841515,5.853451417380296,42,False
crash,buyhold,-83.1342760242703,-19.68669712480622,54.86083336065304,-0.3963255078608891,-0.42395121617185305,1,False
