halt,halt_pct,regime,apr_pct,return_pct,max_dd_pct,sharpe,trades,stop_events,halted,end_state,tail_btc
halt-25,0.25,bull,1477.7760857321507,338.7729505010561,24.271080020308606,4.225718161201372,893,8,False,RUNNING,0.5787743976907749
halt-25,0.25,bear,-17.321275753775765,-17.836686481094144,20.303258881926027,-1.3821290596572187,178,17,False,STOPPED,0.19322617029971315
halt-25,0.25,crab,33.959220793151054,29.108873013889934,15.344077806759026,1.288589382688064,314,12,False,RUNNING,0.36709211749523696
halt-25,0.25,crash,0.0,0.0,0.0,0.0,0,0,False,STOPPED,0.0
halt-35,0.35,bull,1477.7760857321507,338.7729505010561,24.271080020308606,4.225718161201372,893,8,False,RUNNING,0.5787743976907749
halt-35,0.35,bear,-17.321275753775765,-17.836686481094144,20.303258881926027,-1.3821290596572187,178,17,False,STOPPED,0.19322617029971315
halt-35,0.35,crab,33.959220793151054,29.108873013889934,15.344077806759026,1.288589382688064,314,12,False,RUNNING,0.36709211749523696
halt-35,0.35,crash,0.0,0.0,0.0,0.0,0,0,False,STOPPED,0.0
halt-50,0.5,bull,1477.7760857321507,338.7729505010561,24.271080020308606,4.225718161201372,893,8,False,RUNNING,0.5787743976907749
halt-50,0.5,bear,-17.321275753775765,-17.836686481094144,20.303258881926027,-1.3821290596572187,178,17,False,STOPPED,0.19322617029971315
halt-50,0.5,crab,33.959220793151054,29.108873013889934,15.344077806759026,1.288589382688064,314,12,False,RUNNING,0.36709211749523696
halt-50,0.5,crash,0.0,0.0,0.0,0.0,0,0,False,STOPPED,0.0
halt-75,0.75,bull,1477.7760857321507,338.7729505010561,24.271080020308606,4.225718161201372,893,8,False,RUNNING,0.5787743976907749
halt-75,0.75,bear,-17.321275753775765,-17.836686481094144,20.303258881926027,-1.3821290596572187,178,17,False,STOPPED,0.19322617029971315
halt-75,0.75,crab,33.959220793151054,29.108873013889934,15.344077806759026,1.288589382688064,314,12,False,RUNNING,0.36709211749523696
halt-75,0.75,crash,0.0,0.0,0.0,0.0,0,0,False,STOPPED,0.0
no-halt,1.0,bull,1477.7760857321507,338.7729505010561,24.271080020308606,4.225718161201372,893,8,False,RUNNING,0.5787743976907749
no-halt,1.0,bear,-17.321275753775765,-17.836686481094144,20.303258881926027,-1.3821290596572187,178,17,False,STOPPED,0.19322617029971315
no-halt,1.0,crab,33.959220793151054,29.108873013889934,15.344077806759026,1.288589382688064,314,12,False,RUNNING,0.36709211749523696
no-halt,1.0,crash,0.0,0.0,0.0,0.0,0,0,False,STOPPED,0.0
