regime,bot,final_eq,return_pct,apr_pct,max_dd_pct,sharpe,trades,btc_held,days
bull,donchian,24130.950484467365,141.30950484467365,417.2029421375898,28.76871375662689,2.6431745455216964,11,0.3832771700244167,195.66666666666666
bull,trend_fast,36289.6970129393,262.896970129393,1007.20891426729,28.722875726512186,3.919407017847812,139,0.5763972032977264,195.66666666666666
bull,trend_slow,57134.09121352784,471.3409121352784,2481.818385746446,28.768713756626894,4.2604396970945535,7,0.907473280272706,195.66666666666666
bull,buyhold,58325.36552633189,483.2536552633188,2583.143072004474,28.768713756626884,4.297744942591274,1,0.926394551012879,195.66666666666666
bear,donchian,6556.560089074974,-34.43439910925026,-33.547505070115825,37.414739706559544,-1.2149031462342106,12,0.0,377.0
bear,trend_fast,3428.6447218786725,-65.71355278121327,-64.52522514245072,66.51116951510939,-2.5937886847639184,344,0.0,377.0
bear,trend_slow,4906.158799529383,-50.938412004706166,-49.81367788573415,52.079747627112695,-2.35103912220339,88,0.0,377.0
bear,buyhold,2354.114900677375,-76.45885099322625,-75.34968167739382,77.19848663243954,-1.7794652354350664,1,0.14917125917319654,377.0
crab,donchian,12295.86623641692,22.958662364169193,26.682279426011178,20.393007433628753,0.9785961785610452,16,0.0,318.9583333333333
crab,trend_fast,10424.074316108461,4.240743161084604,4.867572183871083,35.46833416314807,0.31104784442951244,283,0.3838851268078161,318.9583333333333
crab,trend_slow,14913.790539547399,49.13790539547398,57.995780881566894,15.2887093790127,1.5301750716174876,57,0.5492269336196272,318.9583333333333
crab,buyhold,15813.173932424519,58.1317393242452,68.94582616070379,21.740843715487802,1.4771042187195547,1,0.5823483310073974,318.9583333333333
crash,donchian,9775.014886618268,-2.2498511338173155,-16.86822253797101,9.56076754220479,-0.6066005282693983,2,0.0,44.958333333333336
crash,trend_fast,11155.985624624356,11.55985624624356,143.05208863052007,15.477891343371066,1.6478188649444372,42,0.0,44.958333333333336
crash,trend_slow,10000.0,0.0,0.0,0.0,0.0,0,0.0,44.958333333333336
crash,buyhold,8031.330287519378,-19.68669712480622,-83.1342760242703,54.86083336065304,-0.3963255078608891,1,1.1692649682646465,44.958333333333336
holdout,donchian,16077.46848752609,60.774684875260895,31.78191360717406,24.4981327844523,1.1534040288368934,22,0.0,628.0
holdout,trend_fast,6720.558382144943,-32.79441617855058,-20.624543634724557,59.1117533215188,-0.5783770142076755,586,0.0,628.0
holdout,trend_slow,12442.191082401225,24.421910824012237,13.5416042289072,32.02237115196221,0.5734555930764538,193,0.1603054528578978,628.0
holdout,buyhold,13162.896773799423,31.628967737994216,17.31898416236184,50.08379415223316,0.5788279970412666,1,0.16959104021720683,628.0
